PurchaseID,PurchaseDate,CustomerEmail,Country,CustomerAge,Category,UnitPrice,Quantity,DiscountPct,PaymentMethod,SatisfactionRating
126,2024-02-18,customer125@yahoo.com,Brazil,27.0,Books,56.81,5,0.15,Debit Card,4.0
127,2023-06-18,customer126@yahoo.com,Mexico,41.0,Beauty,121.33,3,0.15,Debit Card,4.0
128,2024-03-03,customer127@outlook.com,United States,50.0,Clothing,92.72,4,0.2,Credit Card,4.0
129,2024-03-25,customer128@protonmail.com,Japan,63.0,Electronics,54.21,2,0.1,PayPal,3.0
130,2024-05-03,customer129@protonmail.com,Japan,42.0,Beauty,43.79,1,0.0,Credit Card,4.0
131,2024-10-06,customer130@yahoo.com,India,20.0,Sports & Outdoors,26.06,2,0.0,Debit Card,2.0
132,2023-02-26,customer131@gmail.com,France,39.0,Books,158.89,5,0.0,Gift Card,4.0
133,2023-02-08,customer132@protonmail.com,Germany,49.0,Automotive,78.38,5,0.0,Credit Card,5.0
134,2023-12-02,customer133@gmail.com,United Kingdom,72.0,Beauty,70.47,1,0.2,Gift Card,4.0
135,2024-01-12,customer134@gmail.com,France,52.0,Clothing,36.91,1,0.0,Gift Card,5.0
136,2024-07-07,customer135@outlook.com,France,20.0,Electronics,62.56,1,0.05,Credit Card,2.0
137,2023-06-15,customer136@protonmail.com,India,48.0,Automotive,122.4,4,0.05,Credit Card,4.0
138,2023-11-29,customer137@gmail.com,India,73.0,Office Supplies,24.08,5,0.15,PayPal,
139,2024-03-22,customer138@yahoo.com,Australia,40.0,Sports & Outdoors,36.46,5,0.0,Bank Transfer,4.0
140,2024-04-24,customer139@protonmail.com,Japan,,Beauty,27.72,1,0.0,Credit Card,2.0
141,2024-02-01,customer140@gmail.com,Brazil,18.0,Books,140.44,3,0.2,Gift Card,3.0
142,2024-03-07,customer141@yahoo.com,Japan,50.0,Home & Kitchen,23.38,3,0.15,Credit Card,2.0
143,2023-04-30,customer142@gmail.com,Brazil,33.0,Automotive,76.11,5,0.1,Credit Card,5.0
144,2023-12-06,customer143@hotmail.com,United States,71.0,Sports & Outdoors,27.94,5,0.0,Gift Card,1.0
145,2024-01-31,customer144@yahoo.com,France,32.0,Toys,71.49,5,0.15,Credit Card,2.0
146,2023-02-27,customer145@hotmail.com,Japan,54.0,Sports & Outdoors,27.3,2,0.2,PayPal,
147,2024-12-08,customer146@gmail.com,Australia,54.0,Books,46.19,2,0.2,Credit Card,4.0
148,2024-04-07,customer147@gmail.com,Brazil,61.0,Electronics,153.08,4,0.0,Credit Card,4.0
149,2024-06-07,customer148@gmail.com,Germany,40.0,Sports & Outdoors,84.93,4,0.1,Gift Card,4.0
150,2024-01-26,customer149@gmail.com,Mexico,23.0,Electronics,69.24,3,0.0,Credit Card,5.0
151,2024-11-10,customer150@gmail.com,Canada,,Home & Kitchen,81.54,1,0.0,PayPal,5.0
152,2023-01-05,customer151@yahoo.com,Brazil,50.0,Electronics,160.24,3,0.0,Gift Card,5.0
153,2024-11-30,customer152@protonmail.com,Brazil,34.0,Clothing,72.0,5,0.0,PayPal,4.0
154,2023-06-01,customer153@outlook.com,United States,35.0,Automotive,117.82,3,0.0,Gift Card,3.0
155,2024-10-07,customer154@hotmail.com,United Kingdom,24.0,Electronics,119.89,5,0.25,Gift Card,5.0
156,2023-02-14,customer155@gmail.com,Mexico,,Clothing,111.02,3,0.25,Credit Card,5.0
157,2023-08-17,customer156@protonmail.com,Japan,50.0,Beauty,221.8,5,0.1,Debit Card,4.0
158,2024-02-21,customer157@protonmail.com,Brazil,31.0,Grocery,94.26,5,0.05,Debit Card,4.0
159,2024-04-25,customer158@outlook.com,India,60.0,Beauty,113.54,4,0.25,PayPal,4.0
160,2023-01-12,customer159@hotmail.com,United States,53.0,Office Supplies,46.74,5,0.05,PayPal,1.0
161,2023-09-19,customer160@outlook.com,India,39.0,Beauty,66.08,1,0.05,Credit Card,4.0
162,2024-09-06,customer161@yahoo.com,Brazil,48.0,Beauty,64.12,2,0.0,PayPal,5.0
163,2023-05-14,customer162@protonmail.com,United Kingdom,63.0,Clothing,36.35,1,0.0,Debit Card,
164,2024-11-22,customer163@gmail.com,Germany,25.0,Clothing,39.0,4,0.05,PayPal,3.0
165,2024-06-02,customer164@yahoo.com,Germany,35.0,Books,63.5,2,0.0,Debit Card,4.0
166,2024-12-13,customer165@gmail.com,Japan,59.0,Beauty,74.14,3,0.0,Credit Card,
167,2024-10-21,customer166@yahoo.com,United Kingdom,59.0,Sports & Outdoors,156.94,5,0.15,PayPal,4.0
168,2023-06-15,customer167@protonmail.com,United Kingdom,34.0,Grocery,36.3,4,0.15,Debit Card,4.0
169,2024-11-18,customer168@hotmail.com,Australia,53.0,Sports & Outdoors,34.94,4,0.0,Gift Card,2.0
170,2023-12-28,customer169@protonmail.com,Brazil,51.0,Beauty,24.58,1,0.25,PayPal,5.0
171,2023-07-08,customer170@protonmail.com,France,,Electronics,102.43,4,0.0,Gift Card,5.0
172,2024-10-12,customer171@outlook.com,Canada,67.0,Clothing,177.33,2,0.0,PayPal,5.0
173,2023-12-10,customer172@protonmail.com,Canada,31.0,Toys,61.24,5,0.0,Gift Card,5.0
174,2024-05-16,customer173@outlook.com,India,40.0,Electronics,76.25,2,0.2,Credit Card,5.0
175,2024-03-21,customer174@hotmail.com,France,42.0,Automotive,62.06,4,0.25,Debit Card,5.0
176,2023-08-07,customer175@outlook.com,United States,54.0,Home & Kitchen,96.68,3,0.25,Credit Card,5.0
177,2024-12-18,customer176@yahoo.com,Germany,57.0,Electronics,31.52,2,0.0,Debit Card,3.0
178,2024-08-31,customer177@hotmail.com,United States,67.0,Sports & Outdoors,85.1,2,0.25,Gift Card,3.0
179,2024-01-22,customer178@protonmail.com,United Kingdom,26.0,Home & Kitchen,62.01,2,0.0,PayPal,4.0
180,2024-02-23,customer179@protonmail.com,Canada,53.0,Toys,104.56,3,0.15,Debit Card,5.0
181,2023-02-20,customer180@hotmail.com,Mexico,27.0,Home & Kitchen,102.4,5,0.15,PayPal,1.0
182,2024-06-16,customer181@yahoo.com,Germany,74.0,Electronics,79.5,5,0.2,Credit Card,4.0
183,2024-10-26,customer182@protonmail.com,Canada,18.0,Beauty,55.99,2,0.1,Gift Card,5.0
184,2024-12-08,customer183@protonmail.com,Japan,22.0,Clothing,37.2,1,0.0,Credit Card,3.0
185,2024-02-13,customer184@outlook.com,Mexico,69.0,Toys,101.11,2,0.15,Credit Card,4.0
186,2024-12-29,customer185@yahoo.com,France,38.0,Home & Kitchen,67.38,3,0.1,Credit Card,5.0
187,2024-08-05,customer186@hotmail.com,Canada,37.0,Toys,66.5,3,0.0,Gift Card,4.0
188,2024-01-04,customer187@yahoo.com,France,58.0,Clothing,50.6,1,0.15,Debit Card,1.0
189,2024-08-07,customer188@protonmail.com,Japan,25.0,Electronics,142.97,1,0.15,Debit Card,5.0
190,2023-04-25,customer189@protonmail.com,India,45.0,Beauty,146.65,3,0.0,Credit Card,5.0
191,2024-05-08,customer190@hotmail.com,Canada,,Toys,53.16,2,0.15,Credit Card,3.0
192,2024-03-28,customer191@outlook.com,Australia,32.0,Automotive,40.7,2,0.0,Credit Card,3.0
193,2023-12-27,customer192@gmail.com,United States,29.0,Grocery,56.18,2,0.1,Credit Card,4.0
194,2024-04-15,customer193@gmail.com,Australia,37.0,Toys,42.84,5,0.0,Debit Card,4.0
195,2024-09-14,customer194@gmail.com,United States,46.0,Electronics,83.99,5,0.15,Credit Card,5.0
196,2024-02-22,customer195@gmail.com,France,59.0,Beauty,66.03,2,0.0,Debit Card,5.0
197,2023-10-04,customer196@outlook.com,France,29.0,Toys,98.35,4,0.0,Debit Card,5.0
198,2023-11-05,customer197@yahoo.com,Mexico,62.0,Grocery,53.57,5,0.05,Debit Card,4.0
199,2024-02-19,customer198@yahoo.com,Canada,28.0,Toys,231.34,2,0.15,Gift Card,5.0
200,2024-02-29,customer199@gmail.com,United Kingdom,54.0,Electronics,25.5,1,0.2,Credit Card,5.0
201,2023-08-17,customer200@hotmail.com,Australia,39.0,Grocery,64.62,2,0.0,Debit Card,4.0
202,2024-01-25,customer201@protonmail.com,Canada,68.0,Grocery,205.57,5,0.15,Credit Card,5.0
203,2023-07-29,customer202@gmail.com,United States,57.0,Electronics,99.18,1,0.25,Gift Card,4.0
204,2024-11-20,customer203@hotmail.com,France,47.0,Sports & Outdoors,59.0,2,0.15,Gift Card,
205,2024-01-26,customer204@protonmail.com,United Kingdom,21.0,Books,81.31,5,0.0,Credit Card,5.0
206,2024-09-03,customer205@outlook.com,Japan,64.0,Toys,29.33,2,0.1,Credit Card,1.0
207,2023-10-05,customer206@outlook.com,United States,74.0,Automotive,67.09,3,0.05,Credit Card,
208,2023-10-15,customer207@protonmail.com,United States,24.0,Home & Kitchen,28.92,5,0.0,Credit Card,3.0
209,2023-07-30,customer208@hotmail.com,United Kingdom,48.0,Electronics,19.08,5,0.05,Credit Card,4.0
210,2024-02-21,customer209@yahoo.com,India,74.0,Home & Kitchen,137.67,2,0.0,Credit Card,4.0
211,2024-03-25,customer210@yahoo.com,Australia,52.0,Automotive,44.32,2,0.0,Credit Card,
212,2024-02-18,customer211@gmail.com,United Kingdom,67.0,Home & Kitchen,27.51,3,0.0,Credit Card,4.0
213,2024-09-02,customer212@protonmail.com,Australia,63.0,Sports & Outdoors,54.19,2,0.0,Credit Card,5.0
214,2024-01-08,customer213@yahoo.com,Japan,68.0,Grocery,95.51,4,0.25,Credit Card,4.0
215,2024-08-22,customer214@protonmail.com,France,34.0,Grocery,29.03,4,0.0,Debit Card,3.0
216,2023-02-12,customer215@yahoo.com,Canada,68.0,Electronics,48.11,3,0.2,Gift Card,4.0
217,2023-09-20,customer216@outlook.com,Germany,27.0,Electronics,102.44,3,0.0,Credit Card,2.0
218,2024-06-04,customer217@gmail.com,India,66.0,Office Supplies,69.07,1,0.1,Credit Card,5.0
219,2023-10-07,customer218@gmail.com,Brazil,50.0,Books,139.82,4,0.0,Gift Card,4.0
220,2024-06-17,customer219@hotmail.com,Germany,22.0,Electronics,103.39,5,0.05,Credit Card,5.0
221,2024-03-08,customer220@hotmail.com,India,57.0,Electronics,89.38,5,0.1,Credit Card,5.0
222,2023-12-20,customer221@yahoo.com,Canada,69.0,Grocery,101.31,4,0.25,Debit Card,4.0
223,2024-02-12,customer222@hotmail.com,Canada,68.0,Automotive,24.9,4,0.15,Credit Card,4.0
224,2024-10-20,customer223@yahoo.com,United States,27.0,Books,64.09,5,0.0,Debit Card,4.0
225,2024-05-10,customer224@hotmail.com,United States,66.0,Clothing,188.93,2,0.25,PayPal,
226,2024-12-19,customer225@hotmail.com,Germany,67.0,Beauty,51.04,4,0.0,Debit Card,5.0
227,2023-03-11,customer226@protonmail.com,United States,73.0,Electronics,64.8,1,0.05,PayPal,4.0
228,2024-08-16,customer227@hotmail.com,Germany,49.0,Automotive,44.86,4,0.1,Credit Card,2.0
229,2024-10-12,customer228@protonmail.com,United States,69.0,Home & Kitchen,44.61,2,0.1,Credit Card,5.0
230,2024-11-08,customer229@protonmail.com,United States,34.0,Home & Kitchen,109.83,3,0.1,Credit Card,5.0
231,2024-01-29,customer230@yahoo.com,Australia,47.0,Clothing,184.29,1,0.15,Debit Card,4.0
232,2023-12-22,customer231@protonmail.com,Australia,35.0,Electronics,150.34,1,0.25,PayPal,4.0
233,2024-03-02,customer232@outlook.com,Brazil,38.0,Clothing,17.51,4,0.0,PayPal,4.0
234,2024-10-29,customer233@gmail.com,France,33.0,Beauty,62.2,5,0.2,Credit Card,5.0
235,2024-09-24,customer234@protonmail.com,India,55.0,Books,51.72,1,0.0,Gift Card,5.0
236,2024-11-13,customer235@gmail.com,France,59.0,Sports & Outdoors,31.1,5,0.25,Credit Card,4.0
237,2024-12-08,customer236@gmail.com,United Kingdom,64.0,Home & Kitchen,112.53,4,0.05,Bank Transfer,5.0
238,2024-03-31,customer237@outlook.com,Canada,59.0,Clothing,54.13,4,0.15,Credit Card,5.0
239,2023-07-09,customer238@hotmail.com,France,,Books,33.75,2,0.0,PayPal,2.0
240,2023-04-21,customer239@outlook.com,Germany,42.0,Toys,81.68,5,0.25,Debit Card,2.0
241,2024-10-17,customer240@hotmail.com,Australia,53.0,Home & Kitchen,28.88,4,0.1,Debit Card,4.0
242,2023-04-22,customer241@protonmail.com,Mexico,42.0,Grocery,127.26,1,0.15,PayPal,5.0
243,2023-02-21,customer242@outlook.com,United States,27.0,Electronics,132.92,5,0.0,Debit Card,3.0
244,2023-12-11,customer243@protonmail.com,Germany,30.0,Electronics,100.13,2,0.1,Debit Card,5.0
245,2024-06-26,customer244@hotmail.com,Canada,48.0,Home & Kitchen,87.2,3,0.2,Gift Card,3.0
246,2024-06-20,customer245@outlook.com,Brazil,40.0,Sports & Outdoors,61.83,1,0.1,Credit Card,
247,2023-07-05,customer246@outlook.com,Australia,58.0,Electronics,78.52,2,0.0,Debit Card,5.0
248,2024-01-02,customer247@protonmail.com,Canada,55.0,Electronics,60.9,4,0.25,PayPal,2.0
249,2024-10-14,customer248@yahoo.com,Brazil,32.0,Books,24.04,5,0.0,Credit Card,5.0
250,2024-08-06,customer249@yahoo.com,Canada,53.0,Clothing,97.3,3,0.0,Credit Card,5.0
251,2024-10-31,customer250@hotmail.com,Brazil,51.0,Electronics,143.73,4,0.15,Credit Card,3.0
252,2024-07-15,customer251@hotmail.com,Mexico,25.0,Sports & Outdoors,44.95,1,0.1,Credit Card,3.0
253,2023-03-08,customer252@gmail.com,Australia,65.0,Sports & Outdoors,107.11,2,0.05,PayPal,5.0
254,2023-05-29,customer253@hotmail.com,Japan,59.0,Electronics,65.94,3,0.05,Debit Card,
255,2023-05-04,customer254@gmail.com,United States,68.0,Home & Kitchen,47.26,1,0.0,Credit Card,4.0
256,2023-04-07,customer255@outlook.com,Japan,74.0,Clothing,14.53,2,0.15,Debit Card,3.0
257,2024-09-18,customer256@yahoo.com,Canada,34.0,Office Supplies,99.17,1,0.0,Credit Card,4.0
258,2024-05-30,customer257@yahoo.com,France,64.0,Beauty,87.68,3,0.1,Gift Card,4.0
259,2024-10-29,customer258@hotmail.com,Australia,72.0,Clothing,33.27,2,0.25,PayPal,
260,2023-08-22,customer259@gmail.com,Brazil,18.0,Office Supplies,56.01,2,0.05,Credit Card,5.0
261,2024-12-16,customer260@yahoo.com,Brazil,54.0,Books,65.64,3,0.1,Credit Card,5.0
